garden_id,garden_name,garden_subtitle,garden_image,hotspot_id,hotspot_x,hotspot_y,hotspot_w,hotspot_h,hotspot_label,hotspot_description,common_name,latin_name,plant_type
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg5,68,20,28,60,Herbaceous Border,A deep south-facing border with traditional English herbaceous perennials.,Hollyhock,Alcea rosea,perennial
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg5,68,20,28,60,Herbaceous Border,A deep south-facing border with traditional English herbaceous perennials.,Sweet William,Dianthus barbatus,perennial
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg5,68,20,28,60,Herbaceous Border,A deep south-facing border with traditional English herbaceous perennials.,Iris,Iris germanica,bulb
formal_garden,Formal Garden & Yew Hedge,South-facing formal beds with clipped yew,images/formal_garden_yew_hedge.png,fg5,68,20,28,60,Herbaceous Border,A deep south-facing border with traditional English herbaceous perennials.,Tulip,Tulipa gesneriana,bulb
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol1,5,2,40,45,Open Meadow,A relaxed meadow area with scattered trees and wildflower planting.,Field Maple,Acer campestre,tree
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol1,5,2,40,45,Open Meadow,A relaxed meadow area with scattered trees and wildflower planting.,Wild Cherry,Prunus avium,tree
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol1,5,2,40,45,Open Meadow,A relaxed meadow area with scattered trees and wildflower planting.,Ox-eye Daisy,Leucanthemum vulgare,perennial
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol1,5,2,40,45,Open Meadow,A relaxed meadow area with scattered trees and wildflower planting.,Meadow Buttercup,Ranunculus acris,perennial
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol1,5,2,40,45,Open Meadow,A relaxed meadow area with scattered trees and wildflower planting.,Red Campion,Silene dioica,perennial
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol2,45,2,52,50,Mature Arboretum,Dense collection of mature broadleaf and coniferous trees.,Atlas Cedar,Cedrus atlantica,tree
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol2,45,2,52,50,Mature Arboretum,Dense collection of mature broadleaf and coniferous trees.,Scots Pine,Pinus sylvestris,tree
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol2,45,2,52,50,Mature Arboretum,Dense collection of mature broadleaf and coniferous trees.,Hornbeam,Carpinus betulus,tree
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol2,45,2,52,50,Mature Arboretum,Dense collection of mature broadleaf and coniferous trees.,Hazel,Corylus avellana,shrub
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol2,45,2,52,50,Mature Arboretum,Dense collection of mature broadleaf and coniferous trees.,Elder,Sambucus nigra,shrub
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol3,8,60,35,38,Old Labs Surrounds,Planting around the historic laboratory building.,Virginia Creeper,Parthenocissus quinquefolia,climber
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol3,8,60,35,38,Old Labs Surrounds,Planting around the historic laboratory building.,Judas Tree,Cercis siliquastrum,tree
old_labs,Old Labs Garden,Around the former laboratory building,images/Old_labs.png,ol3,8,60,35,38,Old Labs Surrounds,Planting around the historic laboratory building.,Skimmia,Skimmia japonica,shrub
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms1,30,28,38,38,Octagonal Parterre,Elaborate ornamental parterre with swirling box hedging and seasonal bedding centred on a fountain.,Box topiary,Buxus sempervirens,hedge
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms1,30,28,38,38,Octagonal Parterre,Elaborate ornamental parterre with swirling box hedging and seasonal bedding centred on a fountain.,Wallflower,Erysimum cheiri,perennial
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms1,30,28,38,38,Octagonal Parterre,Elaborate ornamental parterre with swirling box hedging and seasonal bedding centred on a fountain.,Pansy,Viola × wittrockiana,perennial
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms1,30,28,38,38,Octagonal Parterre,Elaborate ornamental parterre with swirling box hedging and seasonal bedding centred on a fountain.,Tulip,Tulipa 'Queen of Night',bulb
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms1,30,28,38,38,Octagonal Parterre,Elaborate ornamental parterre with swirling box hedging and seasonal bedding centred on a fountain.,Marigold,Calendula officinalis,perennial
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms2,5,2,30,45,North-West Lawn,Open lawn with scattered mature trees in a parkland character.,London Plane,Platanus × acerifolia,tree
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms2,5,2,30,45,North-West Lawn,Open lawn with scattered mature trees in a parkland character.,Small-leaved Lime,Tilia cordata,tree
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms2,5,2,30,45,North-West Lawn,Open lawn with scattered mature trees in a parkland character.,Hawthorn,Crataegus monogyna,tree
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms3,55,2,40,28,North-East Quadrant,Open lawn with boundary planting and a parasol-shaded seating area.,Weeping Willow,Salix babylonica,tree
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms3,55,2,40,28,North-East Quadrant,Open lawn with boundary planting and a parasol-shaded seating area.,Crocus,Crocus vernus,bulb
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms3,55,2,40,28,North-East Quadrant,Open lawn with boundary planting and a parasol-shaded seating area.,Daffodil,Narcissus pseudonarcissus,bulb
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms4,5,55,30,42,South-West Quadrant,A quieter area with young specimen plantings and naturalised drifts.,Crab Apple,Malus sylvestris,tree
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms4,5,55,30,42,South-West Quadrant,A quieter area with young specimen plantings and naturalised drifts.,Rowan,Sorbus aucuparia,tree
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms4,5,55,30,42,South-West Quadrant,A quieter area with young specimen plantings and naturalised drifts.,Snake's Head Fritillary,Fritillaria meleagris,bulb
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms5,62,55,35,42,South-East Shrubbery,Dense mixed planting including purple-leaved specimens.,Purple-leaf Plum,Prunus cerasifera 'Nigra',tree
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms5,62,55,35,42,South-East Shrubbery,Dense mixed planting including purple-leaved specimens.,Smoke Bush,Cotinus coggygria,shrub
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms5,62,55,35,42,South-East Shrubbery,Dense mixed planting including purple-leaved specimens.,Berberis,Berberis thunbergii,shrub
mound_and_square,Mound & Square,Central college grounds with ornamental parterre,images/mound_and_square.png,ms5,62,55,35,42,South-East Shrubbery,Dense mixed planting including purple-leaved specimens.,Forsythia,Forsythia × intermedia,shrub
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs1,2,2,25,35,Pavilion Lawn,Formal lawn area adjacent to the garden pavilion with specimen plantings.,Copper Beech,Fagus sylvatica 'Purpurea',tree
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs1,2,2,25,35,Pavilion Lawn,Formal lawn area adjacent to the garden pavilion with specimen plantings.,Wisteria,Wisteria sinensis,climber
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs1,2,2,25,35,Pavilion Lawn,Formal lawn area adjacent to the garden pavilion with specimen plantings.,Yew,Taxus baccata,tree
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs2,28,2,40,18,Seasonal Avenue,Trees selected for year-round interest — blossom foliage bark and berries.,Cherry 'Kanzan',Prunus 'Kanzan',tree
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs2,28,2,40,18,Seasonal Avenue,Trees selected for year-round interest — blossom foliage bark and berries.,Amelanchier,Amelanchier lamarckii,tree
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs2,28,2,40,18,Seasonal Avenue,Trees selected for year-round interest — blossom foliage bark and berries.,Dogwood,Cornus sanguinea,shrub
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs2,28,2,40,18,Seasonal Avenue,Trees selected for year-round interest — blossom foliage bark and berries.,Witch Hazel,Hamamelis × intermedia,shrub
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs2,28,2,40,18,Seasonal Avenue,Trees selected for year-round interest — blossom foliage bark and berries.,Winter Jasmine,Jasminum nudiflorum,climber
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs3,25,35,55,55,Woodland Garden,Dense woodland with mature canopy and shade-loving understorey.,English Oak,Quercus robur,tree
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs3,25,35,55,55,Woodland Garden,Dense woodland with mature canopy and shade-loving understorey.,Purple Beech,Fagus sylvatica 'Purpurea',tree
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs3,25,35,55,55,Woodland Garden,Dense woodland with mature canopy and shade-loving understorey.,Holly,Ilex aquifolium,tree
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs3,25,35,55,55,Woodland Garden,Dense woodland with mature canopy and shade-loving understorey.,Bluebell,Hyacinthoides non-scripta,bulb
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs3,25,35,55,55,Woodland Garden,Dense woodland with mature canopy and shade-loving understorey.,Wood Anemone,Anemone nemorosa,bulb
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs3,25,35,55,55,Woodland Garden,Dense woodland with mature canopy and shade-loving understorey.,Male Fern,Dryopteris filix-mas,perennial
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs3,25,35,55,55,Woodland Garden,Dense woodland with mature canopy and shade-loving understorey.,Hellebore,Helleborus orientalis,perennial
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs4,2,70,18,25,Gazebo Corner,An ornamental octagonal gazebo surrounded by flowering shrubs.,Clematis,Clematis montana,climber
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs4,2,70,18,25,Gazebo Corner,An ornamental octagonal gazebo surrounded by flowering shrubs.,Rosa rugosa,Rosa rugosa,shrub
four_seasons,Four Seasons Garden,North-west grounds with pavilion,images/Four_seasons_garden.png,fs4,2,70,18,25,Gazebo Corner,An ornamental octagonal gazebo surrounded by flowering shrubs.,Honeysuckle,Lonicera periclymenum,climber
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf1,45,8,40,12,Upper Planting Bed,A sheltered border against the building wall featuring shade-tolerant species.,Japanese Anemone,Anemone × hybrida,perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf1,45,8,40,12,Upper Planting Bed,A sheltered border against the building wall featuring shade-tolerant species.,Hydrangea,Hydrangea macrophylla,shrub
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf1,45,8,40,12,Upper Planting Bed,A sheltered border against the building wall featuring shade-tolerant species.,Box hedge,Buxus sempervirens,hedge
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf1,45,8,40,12,Upper Planting Bed,A sheltered border against the building wall featuring shade-tolerant species.,Climbing Rose,Rosa 'New Dawn',climber
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf2,45,24,40,12,Central Border 1,Mixed herbaceous planting within clipped box hedging.,Lavender,Lavandula angustifolia,shrub
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf2,45,24,40,12,Central Border 1,Mixed herbaceous planting within clipped box hedging.,Catmint,Nepeta 'Six Hills Giant',perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf2,45,24,40,12,Central Border 1,Mixed herbaceous planting within clipped box hedging.,Philadelphus,Philadelphus coronarius,shrub
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf2,45,24,40,12,Central Border 1,Mixed herbaceous planting within clipped box hedging.,Hardy Geranium,Geranium 'Rozanne',perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf3,45,42,40,12,Central Border 2,Continuing the formal parterre style with seasonal interest.,Salvia,Salvia nemorosa,perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf3,45,42,40,12,Central Border 2,Continuing the formal parterre style with seasonal interest.,Hebe,Hebe 'Great Orme',shrub
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf3,45,42,40,12,Central Border 2,Continuing the formal parterre style with seasonal interest.,Foxglove,Digitalis purpurea,perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf3,45,42,40,12,Central Border 2,Continuing the formal parterre style with seasonal interest.,Astrantia,Astrantia major,perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf4,45,58,40,12,Central Border 3,Lower parterre bed with late-season flowering.,Echinacea,Echinacea purpurea,perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf4,45,58,40,12,Central Border 3,Lower parterre bed with late-season flowering.,Sedum,Sedum 'Autumn Joy',perennial
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf4,45,58,40,12,Central Border 3,Lower parterre bed with late-season flowering.,Viburnum,Viburnum tinus,shrub
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf5,4,15,15,60,Boundary Planting,Informal mixed planting along the western boundary path.,Silver Birch,Betula pendula,tree
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf5,4,15,15,60,Boundary Planting,Informal mixed planting along the western boundary path.,Hornbeam,Carpinus betulus,tree
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf5,4,15,15,60,Boundary Planting,Informal mixed planting along the western boundary path.,Euonymus,Euonymus europaeus,shrub
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf5,4,15,15,60,Boundary Planting,Informal mixed planting along the western boundary path.,Snowdrop,Galanthus nivalis,bulb
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf6,25,8,10,68,Specimen Trees,A row of mature specimen trees providing structure and canopy.,London Plane,Platanus × acerifolia,tree
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf6,25,8,10,68,Specimen Trees,A row of mature specimen trees providing structure and canopy.,Common Lime,Tilia × europaea,tree
rosalind_franklin,Rosalind Franklin Garden,Between Rosalind Franklin Building & pathway,images/roaslind_franklin_garden.png,rf6,25,8,10,68,Specimen Trees,A row of mature specimen trees providing structure and canopy.,English Oak,Quercus robur,tree
orchard,Orchard,Memorial Orchard East of the Sportsfield,images/orchard.png,o1,5,2,30,45,Memorial Orchard,Heritage varieties of apple and pear form our memorial orchard,Apple,Malus domesticus,tree
iris_garden,Iris Garden,Newnham collection of bearded Iris,images/iris_garden.png,i1,25,35,55,55,Iris beds,The Iris collection was developed as a collaborative project between three breeders and the Garden Committee.,Bearded Iris,Iris germanica,bulb
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k1,10,5,80,52,Kennedy Building Surrounds,Foundation planting around the Kennedy Building with climbers on the walls.,Wisteria,Wisteria sinensis,climber
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k1,10,5,80,52,Kennedy Building Surrounds,Foundation planting around the Kennedy Building with climbers on the walls.,Climbing Hydrangea,Hydrangea anomala petiolaris,climber
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k1,10,5,80,52,Kennedy Building Surrounds,Foundation planting around the Kennedy Building with climbers on the walls.,Ivy,Hedera helix,climber
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k1,10,5,80,52,Kennedy Building Surrounds,Foundation planting around the Kennedy Building with climbers on the walls.,Pyracantha,Pyracantha coccinea,shrub
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k2,10,60,80,35,South Lawn & Planting,Informal mixed planting with ornamental trees and a small fountain.,Cercis,Cercis canadensis,tree
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k2,10,60,80,35,South Lawn & Planting,Informal mixed planting with ornamental trees and a small fountain.,Flowering Cherry,Prunus serrulata,tree
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k2,10,60,80,35,South Lawn & Planting,Informal mixed planting with ornamental trees and a small fountain.,Rose,Rosa 'Boscobel',shrub
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k2,10,60,80,35,South Lawn & Planting,Informal mixed planting with ornamental trees and a small fountain.,Weigela,Weigela florida,shrub
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k2,10,60,80,35,South Lawn & Planting,Informal mixed planting with ornamental trees and a small fountain.,Hosta,Hosta 'Sum and Substance',perennial
kennedy,Kennedy Garden,South garden surrounding Kennedy Building,images/kennedy.png,k2,10,60,80,35,South Lawn & Planting,Informal mixed planting with ornamental trees and a small fountain.,Heuchera,Heuchera 'Palace Purple',perennial
